Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,4475.79,2348810240,0.47,2000263573504,
2,1.016,4422.35,4739563520,0.95,2000263573504,
3,1.517,4436.26,7071596544,1.41,2000263573504,
4,2.025,4444.18,9437184000,1.89,2000263573504,
5,2.525,4574.27,11836325888,2.37,2000263573504,
6,3.026,4490.89,14193524736,2.84,2000263573504,
7,3.526,4378.28,16492003328,3.30,2000263573504,
8,4.027,4602.51,18907922432,3.78,2000263573504,
9,4.527,4747.88,21399339008,4.28,2000263573504,
10,5.028,4554.82,23790092288,4.76,2000263573504,
11,5.529,4554.80,26180845568,5.24,2000263573504,
12,6.029,4474.96,28529655808,5.71,2000263573504,
13,6.530,1188.73,29153558528,5.83,2000263573504,
