Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.501,924.48,485490688,3.79,255993315328,
2,1.001,957.75,987758592,7.72,255993315328,
3,1.501,957.20,1490026496,11.64,255993315328,
4,2.002,957.32,1992294400,15.57,255993315328,
5,2.503,934.38,2483027968,19.40,255993315328,
6,3.003,957.65,2985295872,23.32,255993315328,
7,3.503,947.00,3482320896,27.21,255993315328,
8,4.004,938.77,3975151616,31.06,255993315328,
9,4.504,951.99,4474273792,34.96,255993315328,
10,5.005,950.78,4973395968,38.86,255993315328,
11,5.506,956.27,5475663872,42.78,255993315328,
12,6.006,927.07,5962203136,46.58,255993315328,
13,6.506,959.37,6465519616,50.51,255993315328,
14,7.007,934.37,6956253184,54.35,255993315328,
15,7.508,921.36,7439646720,58.12,255993315328,
16,8.008,894.97,7909408768,61.79,255993315328,
17,8.508,923.49,8393850880,65.58,255993315328,
18,9.009,921.46,8877244416,69.36,255993315328,
19,9.509,913.64,9356443648,73.10,255993315328,
20,10.009,896.96,9827254272,76.78,255993315328,
21,10.510,915.19,10307502080,80.53,255993315328,
22,11.011,922.68,10791944192,84.31,255993315328,
23,11.511,913.90,11271143424,88.06,255993315328,
24,12.016,921.34,11759779840,91.88,255993315328,
25,12.517,907.87,12235833344,95.59,255993315328,
26,13.017,918.58,12718178304,99.36,255993315328,
