Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,949.86,498073600,9.73,255993315328,v0.4.8 test
2,1.000,725.66,878706688,17.16,255993315328,v0.4.8 test
3,1.506,807.36,1306525696,25.52,255993315328,v0.4.8 test
4,2.006,871.88,1763704832,34.45,255993315328,v0.4.8 test
5,2.506,867.83,2218786816,43.34,255993315328,v0.4.8 test
6,3.006,865.84,2672820224,52.20,255993315328,v0.4.8 test
7,3.507,884.77,3137339392,61.28,255993315328,v0.4.8 test
8,4.007,839.46,3577741312,69.88,255993315328,v0.4.8 test
9,4.513,862.85,4035969024,78.83,255993315328,v0.4.8 test
10,5.014,818.88,4465885184,87.23,255993315328,v0.4.8 test
11,5.514,827.91,4899995648,95.71,255993315328,v0.4.8 test
