Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.006,2319.34,1216348160,0.19,2000263573504,
2,1.507,4053.63,3347054592,0.52,2000263573504,
3,2.008,4379.27,5645533184,0.88,2000263573504,
4,2.508,4427.56,7969177600,1.25,2000263573504,
5,3.009,4552.55,10359930880,1.62,2000263573504,
6,3.510,4346.84,12641632256,1.97,2000263573504,
7,4.010,4189.17,14839447552,2.32,2000263573504,
8,4.511,4426.51,17163091968,2.68,2000263573504,
9,5.012,4517.90,19537068032,3.05,2000263573504,
10,5.512,4429.35,21860712448,3.42,2000263573504,
11,6.013,4458.84,24201134080,3.78,2000263573504,
12,6.514,4373.10,26499612672,4.14,2000263573504,
13,7.014,4460.48,28840034304,4.51,2000263573504,
14,7.515,4490.75,31197233152,4.87,2000263573504,
15,8.016,4536.96,33579597824,5.25,2000263573504,
16,8.517,4390.84,35886465024,5.61,2000263573504,
17,9.017,4412.49,38201720832,5.97,2000263573504,
18,9.518,4506.42,40567308288,6.34,2000263573504,
19,10.018,4378.89,42865786880,6.70,2000263573504,
20,10.519,4265.68,45105545216,7.05,2000263573504,
21,11.019,4220.85,47320137728,7.39,2000263573504,
22,11.520,4554.31,49710891008,7.77,2000263573504,
23,12.021,4452.61,52051312640,8.13,2000263573504,
24,12.522,4378.31,54349791232,8.49,2000263573504,
25,13.022,4508.89,56715378688,8.86,2000263573504,
26,13.523,4537.43,59097743360,9.23,2000263573504,
27,14.023,4620.17,61522051072,9.61,2000263573504,
28,14.526,4584.95,63937970176,9.99,2000263573504,
29,15.026,4348.23,66219671552,10.35,2000263573504,
30,15.529,4121.73,68392321024,10.68,2000263573504,
31,16.030,4442.49,70724354048,11.05,2000263573504,
32,16.531,4274.89,72972500992,11.40,2000263573504,
33,17.032,4282.89,75220647936,11.75,2000263573504,
34,17.532,4330.96,77493960704,12.11,2000263573504,
35,18.033,4605.45,79909879808,12.48,2000263573504,
36,18.533,4365.48,82199969792,12.84,2000263573504,
37,19.034,4614.19,84624277504,13.22,2000263573504,
38,19.536,4355.05,86914367488,13.58,2000263573504,
39,20.036,4491.20,89271566336,13.95,2000263573504,
40,20.537,4186.13,91469381632,14.29,2000263573504,
41,21.037,4539.05,93851746304,14.66,2000263573504,
42,21.538,4173.47,96041172992,15.00,2000263573504,
43,22.040,4219.87,98264154112,15.35,2000263573504,
44,22.540,4092.82,100411637760,15.69,2000263573504,
45,23.041,4124.80,102575898624,16.03,2000263573504,
46,23.541,4094.10,104723382272,16.36,2000263573504,
47,24.042,4283.06,106971529216,16.71,2000263573504,
48,24.542,4138.86,109144178688,17.05,2000263573504,
49,25.043,4155.62,111325216768,17.39,2000263573504,
50,25.543,4234.41,113548197888,17.74,2000263573504,
51,26.044,4572.06,115947339776,18.11,2000263573504,
52,26.544,4348.91,118229041152,18.47,2000263573504,
53,27.045,4540.62,120611405824,18.84,2000263573504,
54,27.545,4571.82,123010547712,19.22,2000263573504,
55,28.045,4635.91,125443244032,19.60,2000263573504,
56,28.546,4491.23,127800442880,19.97,2000263573504,
57,29.047,4393.93,130107310080,20.33,2000263573504,
58,29.547,4204.14,132313513984,20.67,2000263573504,
59,30.048,4393.77,134620381184,21.03,2000263573504,
60,30.548,4139.92,136793030656,21.37,2000263573504,
61,31.049,4235.55,139016011776,21.72,2000263573504,
62,31.549,4283.37,141264158720,22.07,2000263573504,
63,32.050,4315.55,143529082880,22.42,2000263573504,
64,32.550,4331.23,145802395648,22.78,2000263573504,
65,33.051,4171.16,147991822336,23.12,2000263573504,
66,33.553,3950.95,150072197120,23.45,2000263573504,
67,34.054,4297.32,152328732672,23.80,2000263573504,
68,34.555,4100.07,154484604928,24.14,2000263573504,
69,35.056,4252.87,156715974656,24.48,2000263573504,
70,35.557,4308.58,158980898816,24.84,2000263573504,
71,36.058,4345.54,161262600192,25.19,2000263573504,
72,36.560,4411.03,163586244608,25.56,2000263573504,
73,37.061,4445.74,165918277632,25.92,2000263573504,
74,37.561,4474.91,168267087872,26.29,2000263573504,
75,38.064,4554.16,170666229760,26.66,2000263573504,
76,38.564,877.03,171126554624,26.74,2000263573504,
