Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.501,4388.98,2306867200,0.23,2000263573504,
2,1.002,4582.88,4714397696,0.46,2000263573504,
3,1.503,4443.67,7046430720,0.69,2000263573504,
4,2.004,4600.82,9462349824,0.93,2000263573504,
5,2.504,4443.84,11794382848,1.16,2000263573504,
6,3.005,4582.93,14201913344,1.39,2000263573504,
7,3.509,4573.46,16617832448,1.63,2000263573504,
8,4.009,4490.57,18975031296,1.86,2000263573504,
9,4.512,4506.77,21349007360,2.09,2000263573504,
10,5.015,4485.69,23714594816,2.32,2000263573504,
11,5.516,4279.55,25962741760,2.55,2000263573504,
12,6.020,4233.33,28202500096,2.76,2000263573504,
13,6.521,4407.35,30517755904,2.99,2000263573504,
14,7.023,4259.01,32757514240,3.21,2000263573504,
15,7.527,4313.55,35039215616,3.43,2000263573504,
16,8.029,4287.05,37295751168,3.66,2000263573504,
17,8.529,4302.04,39552286720,3.88,2000263573504,
18,9.030,4154.44,41733324800,4.09,2000263573504,
19,9.531,4170.38,43922751488,4.31,2000263573504,
20,10.031,4346.78,46204452864,4.53,2000263573504,
21,10.532,4300.67,48460988416,4.75,2000263573504,
22,11.034,4188.56,50667192320,4.97,2000263573504,
23,11.535,4411.51,52982448128,5.19,2000263573504,
24,12.035,4346.85,55264149504,5.42,2000263573504,
25,12.536,4441.40,57596182528,5.65,2000263573504,
26,13.036,4314.85,59861106688,5.87,2000263573504,
27,13.537,4458.19,62201528320,6.10,2000263573504,
28,14.037,4125.03,64365789184,6.31,2000263573504,
29,14.538,4185.83,66563604480,6.52,2000263573504,
30,15.039,4204.49,68769808384,6.74,2000263573504,
31,15.540,4133.19,70942457856,6.95,2000263573504,
32,16.041,4277.63,73190604800,7.17,2000263573504,
33,16.542,4185.37,75388420096,7.39,2000263573504,
34,17.043,4346.36,77670121472,7.61,2000263573504,
35,17.543,4331.12,79943434240,7.84,2000263573504,
36,18.044,4311.97,82208358400,8.06,2000263573504,
