Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %
1,0.501,920.10,483393536,9.44
2,1.002,769.26,887095296,17.33
3,1.505,808.08,1313865728,25.66
4,2.006,868.61,1769996288,34.57
5,2.506,811.53,2195718144,42.89
6,3.007,868.35,2651848704,51.80
7,3.508,864.52,3105882112,60.66
8,4.008,861.43,3557818368,69.49
9,4.509,873.59,4016046080,78.44
10,5.009,800.96,4436525056,86.65
11,5.510,812.90,4863295488,94.99
