Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.010,2381.37,1249902592,0.23,2000263573504,
2,1.526,4406.99,3632267264,0.67,2000263573504,
3,2.026,4473.64,5981077504,1.11,2000263573504,
4,2.531,4392.28,8304721920,1.54,2000263573504,
5,3.031,4411.69,10619977728,1.97,2000263573504,
6,3.532,4425.86,12943622144,2.40,2000263573504,
7,4.033,4426.04,15267266560,2.83,2000263573504,
8,4.533,4445.00,17599299584,3.26,2000263573504,
9,5.034,4394.62,19906166784,3.69,2000263573504,
10,5.534,4092.94,22053650432,4.08,2000263573504,
