Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,1595.64,836763648,0.09,2000263573504,
2,1.000,1555.69,1652555776,0.18,2000263573504,
3,1.502,1440.14,2409627648,0.26,2000263573504,
4,2.002,1569.84,3232759808,0.34,2000263573504,
5,2.503,1641.98,4095737856,0.44,2000263573504,
6,3.007,1617.47,4951375872,0.53,2000263573504,
7,3.509,1610.74,5798625280,0.62,2000263573504,
8,4.012,1607.42,6645874688,0.71,2000263573504,
9,4.513,1597.04,7484735488,0.80,2000263573504,
10,5.014,1610.11,8331984896,0.89,2000263573504,
11,5.517,1481.16,9112125440,0.97,2000263573504,
12,6.017,1501.66,9900654592,1.05,2000263573504,
13,6.517,1545.96,10711203840,1.14,2000263573504,
14,7.018,1621.64,11561598976,1.23,2000263573504,
15,7.519,1515.74,12358516736,1.31,2000263573504,
16,8.019,1515.75,13153337344,1.40,2000263573504,
17,8.520,1537.85,13960740864,1.48,2000263573504,
18,9.020,1525.80,14760804352,1.57,2000263573504,
19,9.520,1528.76,15562964992,1.66,2000263573504,
20,10.022,1546.71,16376659968,1.74,2000263573504,
21,10.524,1578.02,17207132160,1.83,2000263573504,
22,11.026,1641.50,18071158784,1.92,2000263573504,
23,11.529,1557.80,18893242368,2.01,2000263573504,
24,12.030,1622.02,19745734656,2.10,2000263573504,
25,12.531,1363.63,20461912064,2.18,2000263573504,
26,13.034,1510.51,21258829824,2.26,2000263573504,
27,13.537,1559.14,22080913408,2.35,2000263573504,
28,14.039,1640.76,22944940032,2.44,2000263573504,
29,14.540,1614.41,23792189440,2.53,2000263573504,
30,15.040,1599.83,24631050240,2.62,2000263573504,
31,15.540,1591.92,25465716736,2.71,2000263573504,
32,16.041,1606.63,26309820416,2.80,2000263573504,
33,16.543,1626.62,27165458432,2.89,2000263573504,
34,17.043,1629.57,28021096448,2.98,2000263573504,
35,17.543,1569.76,28844228608,3.07,2000263573504,
36,18.045,1610.30,29690429440,3.16,2000263573504,
37,18.545,1628.79,30545018880,3.25,2000263573504,
38,19.045,1637.81,31403802624,3.34,2000263573504,
39,19.545,1573.23,32229031936,3.43,2000263573504,
40,20.045,1605.76,33071038464,3.52,2000263573504,
41,20.548,1542.27,33883684864,3.60,2000263573504,
42,21.049,1594.90,34722545664,3.69,2000263573504,
43,21.550,1589.37,35556163584,3.78,2000263573504,
44,22.051,1318.32,36249272320,3.86,2000263573504,
45,22.552,1517.28,37046190080,3.94,2000263573504,
46,23.052,1589.55,37879808000,4.03,2000263573504,
47,23.553,1563.16,38700843008,4.12,2000263573504,
48,24.054,1613.63,39548092416,4.21,2000263573504,
49,24.555,1642.80,40412119040,4.30,2000263573504,
50,25.057,1609.49,41259368448,4.39,2000263573504,
51,25.558,1562.71,42079354880,4.48,2000263573504,
52,26.058,1601.53,42919264256,4.57,2000263573504,
53,26.558,1537.79,43725619200,4.65,2000263573504,
54,27.058,1630.92,44581257216,4.74,2000263573504,
55,27.560,1545.86,45394952192,4.83,2000263573504,
56,28.063,1496.35,46183481344,4.91,2000263573504,
57,28.564,1390.05,46913290240,4.99,2000263573504,
58,29.066,1590.97,47752151040,5.08,2000263573504,
59,29.567,1457.31,48516562944,5.16,2000263573504,
60,30.067,1523.88,49315577856,5.25,2000263573504,
61,30.567,1529.60,50118787072,5.33,2000263573504,
62,31.069,1565.53,50941919232,5.42,2000263573504,
63,31.571,1532.45,51748274176,5.50,2000263573504,
64,32.073,1449.81,52511637504,5.59,2000263573504,
65,32.573,1541.66,53320089600,5.67,2000263573504,
66,33.074,1558.87,54139027456,5.76,2000263573504,
67,33.574,1537.79,54945382400,5.84,2000263573504,
68,34.077,1523.61,55748591616,5.93,2000263573504,
69,34.577,1523.83,56547606528,6.01,2000263573504,
70,35.077,1493.92,57330892800,6.10,2000263573504,
71,35.577,1545.83,58141442048,6.18,2000263573504,
72,36.078,1563.34,58962477056,6.27,2000263573504,
73,36.578,1541.87,59770929152,6.36,2000263573504,
74,37.078,1486.35,60551069696,6.44,2000263573504,
75,37.578,1581.77,61380493312,6.53,2000263573504,
76,38.079,1563.73,62200479744,6.62,2000263573504,
77,38.579,1564.90,63021514752,6.70,2000263573504,
78,39.081,1603.61,63866667008,6.79,2000263573504,
