Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.022,1262.96,662700032,0.09,2000263573504,
2,1.523,3120.09,2301624320,0.32,2000263573504,
3,2.024,2780.13,3762290688,0.52,2000263573504,
4,2.524,2491.04,5068816384,0.70,2000263573504,
5,3.024,3589.77,6952058880,0.97,2000263573504,
6,3.525,3740.58,8914993152,1.24,2000263573504,
7,4.025,3687.29,10849615872,1.51,2000263573504,
8,4.525,3445.10,12657360896,1.76,2000263573504,
9,5.026,3579.06,14535360512,2.02,2000263573504,
10,5.527,3632.73,16443768832,2.28,2000263573504,
11,6.027,3660.93,18365808640,2.55,2000263573504,
12,6.528,3667.81,20290994176,2.82,2000263573504,
13,7.028,3551.54,22154313728,3.08,2000263573504,
14,7.529,3685.21,24088936448,3.35,2000263573504,
15,8.029,3571.20,25962741760,3.61,2000263573504,
16,8.530,3424.88,27762098176,3.86,2000263573504,
17,9.031,3627.76,29666312192,4.12,2000263573504,
18,9.533,3534.28,31527534592,4.38,2000263573504,
19,10.034,3407.27,33316405248,4.63,2000263573504,
20,10.534,3701.27,35258368000,4.90,2000263573504,
21,11.035,3441.60,37065064448,5.15,2000263573504,
22,11.536,2259.59,38251003904,5.31,2000263573504,
23,12.037,133.72,38321258496,5.32,2000263573504,
24,12.537,1401.07,39056310272,5.42,2000263573504,
25,13.037,3381.24,40830500864,5.67,2000263573504,
26,13.538,3409.87,42620420096,5.92,2000263573504,
27,14.039,3166.96,44283461632,6.15,2000263573504,
28,14.540,3574.89,46161461248,6.41,2000263573504,
29,15.040,3510.78,48003809280,6.67,2000263573504,
30,15.541,3352.09,49763319808,6.91,2000263573504,
31,16.041,3591.01,51647610880,7.17,2000263573504,
32,16.542,3170.62,53311700992,7.40,2000263573504,
33,17.043,3142.55,54962159616,7.63,2000263573504,
34,17.543,3033.58,56553897984,7.85,2000263573504,
35,18.044,3087.26,58174996480,8.08,2000263573504,
36,18.545,3307.00,59913535488,8.32,2000263573504,
37,19.046,3236.67,61614325760,8.56,2000263573504,
38,19.547,3123.79,63253250048,8.78,2000263573504,
39,20.047,3293.13,64981303296,9.02,2000263573504,
40,20.548,3195.20,66659024896,9.26,2000263573504,
41,21.048,3309.86,68396515328,9.50,2000263573504,
42,21.549,3446.99,70207406080,9.75,2000263573504,
43,22.050,3218.46,71896662016,9.98,2000263573504,
44,22.551,3371.94,73668755456,10.23,2000263573504,
45,23.051,3332.50,75416731648,10.47,2000263573504,
46,23.552,3274.95,77135347712,10.71,2000263573504,
47,24.053,3353.35,78896955392,10.96,2000263573504,
48,24.554,3411.67,80688971776,11.21,2000263573504,
49,25.055,3330.32,82437996544,11.45,2000263573504,
50,25.555,3542.41,84297121792,11.71,2000263573504,
51,26.056,3344.49,86053486592,11.95,2000263573504,
52,26.557,3128.38,87695556608,12.18,2000263573504,
53,27.059,3036.75,89296732160,12.40,2000263573504,
54,27.560,3318.76,91039465472,12.64,2000263573504,
55,28.061,3297.20,92770664448,12.88,2000263573504,
56,28.561,3205.02,94452580352,13.12,2000263573504,
57,29.062,3412.17,96242499584,13.37,2000263573504,
58,29.562,3099.10,97868840960,13.59,2000263573504,
