Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,923.17,484442112,9.46,255993315328,v0.4.9 test
2,1.001,735.58,870318080,17.00,255993315328,v0.4.9 test
3,1.502,832.70,1307574272,25.54,255993315328,v0.4.9 test
4,2.002,830.72,1743781888,34.06,255993315328,v0.4.9 test
5,2.502,775.70,2150629376,42.01,255993315328,v0.4.9 test
6,3.003,824.57,2583691264,50.46,255993315328,v0.4.9 test
7,3.504,820.60,3014656000,58.88,255993315328,v0.4.9 test
8,4.005,778.90,3423600640,66.87,255993315328,v0.4.9 test
9,4.505,833.62,3860856832,75.41,255993315328,v0.4.9 test
10,5.006,825.38,4293918720,83.87,255993315328,v0.4.9 test
11,5.506,811.60,4719640576,92.18,255993315328,v0.4.9 test
