Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,947.25,497025024,9.71,255993315328,v0.4.7 test
2,1.001,776.42,904921088,17.67,255993315328,v0.4.7 test
3,1.502,867.38,1360003072,26.56,255993315328,v0.4.7 test
4,2.002,855.12,1808793600,35.33,255993315328,v0.4.7 test
5,2.502,823.92,2240806912,43.77,255993315328,v0.4.7 test
6,3.002,827.91,2674917376,52.25,255993315328,v0.4.7 test
7,3.503,829.58,3110076416,60.75,255993315328,v0.4.7 test
8,4.003,825.25,3543138304,69.20,255993315328,v0.4.7 test
9,4.504,817.17,3972005888,77.58,255993315328,v0.4.7 test
10,5.004,825.29,4405067776,86.04,255993315328,v0.4.7 test
11,5.505,827.16,4839178240,94.52,255993315328,v0.4.7 test
