Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.010,1910.43,1002438656,0.14,2000263573504,
2,1.527,3233.44,2752512000,0.38,2000263573504,
3,2.027,4363.93,5043650560,0.70,2000263573504,
4,2.528,4223.36,7260340224,1.01,2000263573504,
5,3.028,4100.03,9412018176,1.31,2000263573504,
6,3.530,3814.04,11417944064,1.59,2000263573504,
7,4.031,4014.65,13525581824,1.88,2000263573504,
8,4.531,4001.20,15624830976,2.17,2000263573504,
9,5.031,4017.79,17732468736,2.46,2000263573504,
10,5.532,4127.00,19900923904,2.76,2000263573504,
11,6.034,4354.75,22189965312,3.08,2000263573504,
12,6.534,4349.90,24472715264,3.40,2000263573504,
13,7.035,4518.87,26844594176,3.73,2000263573504,
14,7.535,4095.19,28993126400,4.03,2000263573504,
15,8.035,4213.02,31204573184,4.33,2000263573504,
16,8.536,4354.48,33490468864,4.65,2000263573504,
17,9.037,4173.37,35680944128,4.96,2000263573504,
18,9.537,4231.67,37901828096,5.26,2000263573504,
19,10.038,4328.95,40174092288,5.58,2000263573504,
20,10.538,4577.66,42576379904,5.91,2000263573504,
21,11.039,4290.15,44828721152,6.23,2000263573504,
22,11.540,4060.98,46963621888,6.52,2000263573504,
23,12.041,4450.91,49300897792,6.85,2000263573504,
24,12.542,4476.08,51649708032,7.17,2000263573504,
25,13.042,4155.54,53831794688,7.48,2000263573504,
26,13.543,4386.30,56133419008,7.80,2000263573504,
27,14.043,4224.28,58350108672,8.10,2000263573504,
28,14.544,4290.20,60601401344,8.42,2000263573504,
29,15.044,4208.24,62810750976,8.72,2000263573504,
30,15.545,4458.11,65152221184,9.05,2000263573504,
31,16.046,4316.22,67418193920,9.36,2000263573504,
32,16.547,4501.86,69781684224,9.69,2000263573504,
33,17.055,4287.65,72067579904,10.01,2000263573504,
34,17.556,4374.84,74363961344,10.33,2000263573504,
35,18.056,4347.63,76644614144,10.64,2000263573504,
36,18.556,4326.79,78915829760,10.96,2000263573504,
37,19.057,4267.32,81154539520,11.27,2000263573504,
38,19.557,4337.62,83432046592,11.59,2000263573504,
39,20.058,4286.27,85681242112,11.90,2000263573504,
40,20.559,4386.35,87983915008,12.22,2000263573504,
41,21.059,4081.09,90125107200,12.52,2000263573504,
42,21.559,4253.51,92357525504,12.83,2000263573504,
