Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.506,894.96,475004928,4.64,255993315328,
2,1.007,896.60,945815552,9.24,255993315328,
3,1.508,922.13,1430257664,13.97,255993315328,
4,2.008,921.86,1913651200,18.69,255993315328,
5,2.508,919.31,2395996160,23.40,255993315328,
6,3.009,895.38,2865758208,27.99,255993315328,
7,3.509,920.94,3349151744,32.71,255993315328,
8,4.010,920.93,3832545280,37.43,255993315328,
9,4.510,935.90,4323278848,42.22,255993315328,
10,5.010,899.14,4795138048,46.83,255993315328,
11,5.511,920.78,5278531584,51.55,255993315328,
12,6.012,920.52,5761925120,56.27,255993315328,
13,6.513,923.75,6247415808,61.01,255993315328,
14,7.013,897.82,6718226432,65.61,255993315328,
15,7.514,891.07,7185891328,70.18,255993315328,
16,8.015,916.20,7667187712,74.88,255993315328,
17,8.515,875.73,8126464000,79.36,255993315328,
18,9.016,910.31,8604614656,84.03,255993315328,
19,9.516,913.33,9083813888,88.71,255993315328,
20,10.017,920.23,9567207424,93.43,255993315328,
21,10.517,921.43,10050600960,98.15,255993315328,
