Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,951.96,499122176,9.75,255993315328,
2,1.000,929.36,986710016,19.27,255993315328,
3,1.501,952.95,1486880768,29.04,255993315328,
4,2.001,951.92,1986002944,38.79,255993315328,
5,2.501,929.09,2473590784,48.31,255993315328,
6,3.002,952.36,2973761536,58.08,255993315328,
7,3.503,952.15,3473932288,67.85,255993315328,
8,4.003,951.88,3973054464,77.60,255993315328,
9,4.504,929.46,4460642304,87.12,255993315328,
10,5.004,951.89,4959764480,96.87,255993315328,
