Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.013,2302.42,1207959552,0.24,2000263573504,
2,1.514,4200.75,3414163456,0.68,2000263573504,
3,2.015,4261.96,5653921792,1.13,2000263573504,
4,2.515,4172.15,7843348480,1.57,2000263573504,
5,3.017,4275.06,10091495424,2.02,2000263573504,
6,3.518,4536.69,12473860096,2.49,2000263573504,
7,4.018,4170.43,14663286784,2.93,2000263573504,
8,4.520,4372.82,16961765376,3.39,2000263573504,
9,5.023,4227.55,19193135104,3.84,2000263573504,
10,5.536,4273.35,21491613696,4.30,2000263573504,
11,6.037,4312.56,23756537856,4.75,2000263573504,
12,6.537,4492.75,26113736704,5.22,2000263573504,
13,7.039,4242.91,28345106432,5.67,2000263573504,
14,7.539,4477.45,30693916672,6.14,2000263573504,
15,8.040,495.28,30953963520,6.19,2000263573504,
