Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,4189.69,2197815296,0.44,2000263573504,
2,1.016,4067.01,4395630592,0.88,2000263573504,
3,1.516,4349.11,6677331968,1.34,2000263573504,
4,2.016,4380.25,8975810560,1.79,2000263573504,
5,2.517,4108.42,11131682816,2.23,2000263573504,
6,3.017,4301.63,13388218368,2.68,2000263573504,
7,3.518,4332.20,15661531136,3.13,2000263573504,
8,4.018,4269.07,17901289472,3.58,2000263573504,
9,4.519,4393.11,20208156672,4.04,2000263573504,
10,5.020,4197.98,22414360576,4.48,2000263573504,
11,5.522,4410.54,24738004992,4.95,2000263573504,
12,6.024,4354.34,27028094976,5.40,2000263573504,
13,6.524,4301.56,29284630528,5.86,2000263573504,
14,7.028,3015.58,30876368896,6.17,2000263573504,
