Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,1571.07,832569344,0.11,2000263573504,
2,1.001,1551.23,1646264320,0.22,2000263573504,
3,1.505,1522.87,2451570688,0.33,2000263573504,
4,2.005,1499.05,3238002688,0.44,2000263573504,
5,2.505,1581.91,4067426304,0.55,2000263573504,
6,3.005,1581.63,4896849920,0.66,2000263573504,
7,3.505,1509.90,5688524800,0.77,2000263573504,
8,4.006,1528.89,6490685440,0.88,2000263573504,
9,4.506,1503.37,7279214592,0.98,2000263573504,
10,5.006,1543.44,8088715264,1.09,2000263573504,
11,5.506,1533.75,8892973056,1.20,2000263573504,
12,6.006,1383.96,9618587648,1.30,2000263573504,
13,6.506,1525.72,10418651136,1.41,2000263573504,
14,7.006,1555.61,11234443264,1.52,2000263573504,
15,7.506,1569.79,12057575424,1.63,2000263573504,
16,8.007,1566.71,12879659008,1.74,2000263573504,
17,8.507,1566.42,13701742592,1.85,2000263573504,
18,9.008,1647.10,14565769216,1.97,2000263573504,
19,9.508,1589.01,15399387136,2.08,2000263573504,
20,10.008,1561.98,16218324992,2.19,2000263573504,
21,10.508,1519.54,17015242752,2.30,2000263573504,
22,11.008,1537.07,17821597696,2.41,2000263573504,
23,11.509,1583.43,18652069888,2.52,2000263573504,
24,12.009,1527.82,19453181952,2.63,2000263573504,
25,12.509,1558.78,20271071232,2.74,2000263573504,
26,13.010,1598.34,21109932032,2.85,2000263573504,
27,13.510,1567.26,21932015616,2.96,2000263573504,
28,14.010,1503.49,22720544768,3.07,2000263573504,
29,14.510,1583.67,23551016960,3.18,2000263573504,
30,15.010,1485.91,24330108928,3.29,2000263573504,
31,15.511,1532.65,25134366720,3.40,2000263573504,
32,16.011,1489.67,25915555840,3.50,2000263573504,
33,16.511,1502.77,26704084992,3.61,2000263573504,
34,17.011,1519.38,27501002752,3.72,2000263573504,
35,17.511,1567.54,28323086336,3.83,2000263573504,
36,18.012,1573.82,29148315648,3.94,2000263573504,
37,18.512,1523.88,29947330560,4.05,2000263573504,
38,19.012,1493.91,30730616832,4.15,2000263573504,
39,19.512,1551.47,31544311808,4.26,2000263573504,
40,20.012,1630.87,32399949824,4.38,2000263573504,
41,20.513,1550.53,33213644800,4.49,2000263573504,
42,21.013,1471.14,33985396736,4.59,2000263573504,
43,21.513,1566.61,34807480320,4.70,2000263573504,
44,22.013,1551.79,35621175296,4.81,2000263573504,
45,22.514,1549.39,36433821696,4.92,2000263573504,
46,23.014,1593.41,37269536768,5.04,2000263573504,
47,23.514,1536.38,38075891712,5.14,2000263573504,
48,24.015,1495.16,38860226560,5.25,2000263573504,
49,24.515,1470.56,39631978496,5.35,2000263573504,
50,25.015,1550.88,40445673472,5.46,2000263573504,
51,25.516,1597.23,41283485696,5.58,2000263573504,
52,26.016,1503.08,42072014848,5.68,2000263573504,
53,26.516,1567.06,42894098432,5.80,2000263573504,
54,27.017,1528.86,43696259072,5.90,2000263573504,
55,27.517,1519.35,44493176832,6.01,2000263573504,
56,28.017,1471.30,45264928768,6.12,2000263573504,
57,28.517,1493.46,46048215040,6.22,2000263573504,
58,29.017,1537.41,46854569984,6.33,2000263573504,
