Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,919.82,482344960,3.14,255993315328,
2,1.001,948.71,980418560,6.38,255993315328,
3,1.501,947.35,1477443584,9.62,255993315328,
4,2.002,927.46,1965031424,12.79,255993315328,
5,2.504,946.08,2462056448,16.03,255993315328,
6,3.004,951.30,2961178624,19.28,255993315328,
7,3.505,950.70,3460300800,22.53,255993315328,
8,4.005,929.53,3947888640,25.70,255993315328,
9,4.506,952.28,4448059392,28.96,255993315328,
10,5.006,951.67,4947181568,32.21,255993315328,
11,5.506,951.61,5446303744,35.46,255993315328,
12,6.007,930.47,5934940160,38.64,255993315328,
13,6.508,952.23,6435110912,41.90,255993315328,
14,7.008,931.87,6923747328,45.08,255993315328,
15,7.509,918.80,7406092288,48.22,255993315328,
16,8.009,891.95,7873757184,51.26,255993315328,
17,8.509,918.36,8356102144,54.40,255993315328,
18,9.010,917.63,8837398528,57.54,255993315328,
19,9.510,919.16,9319743488,60.68,255993315328,
20,10.011,894.97,9789505536,63.74,255993315328,
21,10.519,919.17,10279190528,66.92,255993315328,
22,11.019,937.29,10770972672,70.13,255993315328,
23,11.519,913.66,11250171904,73.25,255993315328,
24,12.020,893.31,11718885376,76.30,255993315328,
25,12.520,918.85,12201230336,79.44,255993315328,
26,13.021,917.74,12682526720,82.57,255993315328,
27,13.521,916.82,13163823104,85.70,255993315328,
28,14.022,919.13,13646168064,88.84,255993315328,
29,14.522,895.11,14115930112,91.90,255993315328,
30,15.022,917.42,14597226496,95.04,255993315328,
31,15.523,918.89,15079571456,98.18,255993315328,
