Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,945.15,495976448,9.69,255993315328,
2,1.001,733.00,880803840,17.20,255993315328,
3,1.501,833.91,1318060032,25.74,255993315328,
4,2.002,837.37,1757413376,34.33,255993315328,
5,2.502,835.83,2195718144,42.89,255993315328,
6,3.002,837.15,2635071488,51.47,255993315328,
7,3.502,815.79,3062890496,59.82,255993315328,
8,4.003,777.65,3470786560,67.79,255993315328,
9,4.503,835.86,3909091328,76.35,255993315328,
10,5.003,836.80,4348444672,84.93,255993315328,
11,5.504,777.45,4756340736,92.90,255993315328,
