Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.501,942.63,494927872,9.67,255993315328,
2,1.002,756.67,892338176,17.43,255993315328,
3,1.502,818.92,1322254336,25.83,255993315328,
4,2.003,826.79,1756364800,34.30,255993315328,
5,2.505,800.50,2177892352,42.54,255993315328,
6,3.006,770.73,2582642688,50.44,255993315328,
7,3.507,826.92,3016753152,58.92,255993315328,
8,4.007,825.11,3449815040,67.38,255993315328,
9,4.508,831.42,3886022656,75.90,255993315328,
10,5.008,817.98,4314890240,84.28,255993315328,
11,5.508,817.68,4743757824,92.65,255993315328,
