Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.501,1643.68,864026624,0.09,2000263573504,
2,1.003,1533.40,1670381568,0.18,2000263573504,
3,1.503,1581.87,2499805184,0.27,2000263573504,
4,2.003,1556.93,3316645888,0.36,2000263573504,
5,2.503,1639.66,4176478208,0.45,2000263573504,
6,3.005,1583.67,5009047552,0.54,2000263573504,
7,3.505,1661.44,5880414208,0.64,2000263573504,
8,4.006,1613.52,6728712192,0.73,2000263573504,
9,4.506,1652.00,7594835968,0.83,2000263573504,
10,5.009,1572.63,8423211008,0.92,2000263573504,
11,5.509,1533.35,9227468800,1.00,2000263573504,
12,6.010,1614.99,10075766784,1.10,2000263573504,
13,6.512,1673.44,10956570624,1.19,2000263573504,
14,7.014,1638.96,11820597248,1.28,2000263573504,
15,7.515,1541.72,12629049344,1.37,2000263573504,
16,8.015,1631.25,13484687360,1.47,2000263573504,
17,8.515,1627.60,14338228224,1.56,2000263573504,
18,9.018,1604.42,15184429056,1.65,2000263573504,
19,9.518,1649.75,16049504256,1.74,2000263573504,
20,10.018,1597.06,16887316480,1.84,2000263573504,
21,10.519,1373.22,17608736768,1.91,2000263573504,
22,11.020,1628.50,18464374784,2.01,2000263573504,
23,11.520,1633.57,19321061376,2.10,2000263573504,
24,12.022,1640.08,20184039424,2.19,2000263573504,
25,12.524,1657.77,21056454656,2.29,2000263573504,
26,13.026,1593.23,21894266880,2.38,2000263573504,
27,13.526,1489.73,22675456000,2.46,2000263573504,
28,14.027,1577.40,23503831040,2.55,2000263573504,
29,14.529,1517.22,24302845952,2.64,2000263573504,
30,15.029,1501.62,25090326528,2.73,2000263573504,
31,15.531,1531.20,25896681472,2.81,2000263573504,
32,16.031,1567.50,26718765056,2.90,2000263573504,
33,16.532,1469.26,27490516992,2.99,2000263573504,
34,17.032,1567.30,28312600576,3.08,2000263573504,
35,17.533,1585.82,29144121344,3.17,2000263573504,
36,18.033,1627.94,29997662208,3.26,2000263573504,
