Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,4458.47,2339373056,0.23,2000263573504,
2,1.000,4403.63,4648337408,0.46,2000263573504,
3,1.501,4300.10,6903824384,0.68,2000263573504,
4,2.001,4381.89,9201254400,0.90,2000263573504,
5,2.502,4112.46,11361320960,1.11,2000263573504,
6,3.002,4396.95,13667139584,1.34,2000263573504,
7,3.502,4487.62,16021192704,1.57,2000263573504,
8,4.005,4262.52,18270388224,1.79,2000263573504,
9,4.505,4351.18,20552089600,2.01,2000263573504,
10,5.006,4245.07,22782410752,2.23,2000263573504,
11,5.508,4006.97,24890048512,2.44,2000263573504,
12,6.008,4453.65,27226275840,2.67,2000263573504,
13,6.508,4566.29,29621223424,2.90,2000263573504,
14,7.009,4569.67,32018268160,3.14,2000263573504,
15,7.509,4302.64,34275852288,3.36,2000263573504,
16,8.009,4399.74,36582719488,3.59,2000263573504,
17,8.511,4054.84,38716571648,3.80,2000263573504,
18,9.011,3876.10,40749760512,3.99,2000263573504,
19,9.511,4203.65,42953867264,4.21,2000263573504,
20,10.013,4066.01,45091913728,4.42,2000263573504,
21,10.513,4197.99,47294971904,4.64,2000263573504,
22,11.013,4329.59,49565138944,4.86,2000263573504,
23,11.513,4425.70,51885637632,5.09,2000263573504,
24,12.013,4556.00,54274293760,5.32,2000263573504,
25,12.514,4605.92,56690212864,5.56,2000263573504,
26,13.014,4281.66,58937311232,5.78,2000263573504,
27,13.514,4182.82,61130932224,5.99,2000263573504,
28,14.017,4576.16,63545802752,6.23,2000263573504,
29,14.518,3819.76,65549631488,6.43,2000263573504,
30,15.018,4294.06,67803021312,6.65,2000263573504,
31,15.519,3908.07,69854035968,6.85,2000263573504,
32,16.026,4109.28,72038219776,7.06,2000263573504,
33,16.526,4477.22,74387030016,7.29,2000263573504,
34,17.026,4435.62,76712771584,7.52,2000263573504,
35,17.526,4309.84,78972452864,7.74,2000263573504,
36,18.026,4338.69,81248911360,7.96,2000263573504,
37,18.526,4535.67,83627081728,8.20,2000263573504,
38,19.026,4445.13,85958066176,8.43,2000263573504,
39,19.527,4464.89,88300584960,8.66,2000263573504,
40,20.027,4466.97,90644152320,8.89,2000263573504,
41,20.527,4563.33,93037002752,9.12,2000263573504,
42,21.027,4692.15,95498010624,9.36,2000263573504,
43,21.528,4295.25,97753497600,9.58,2000263573504,
44,22.028,2589.91,99111403520,9.72,2000263573504,
45,22.531,2560.45,100460920832,9.85,2000263573504,
46,23.034,2513.66,101786320896,9.98,2000263573504,
47,23.534,2577.29,103138983936,10.11,2000263573504,
48,24.035,2627.33,104518909952,10.25,2000263573504,
49,24.538,2580.19,105878913024,10.38,2000263573504,
50,25.038,2577.02,107230527488,10.51,2000263573504,
51,25.539,2636.73,108614647808,10.65,2000263573504,
52,26.039,2582.29,109969408000,10.78,2000263573504,
53,26.542,2577.19,111329411072,10.91,2000263573504,
54,27.045,2647.60,112724017152,11.05,2000263573504,
55,27.545,2660.49,114119671808,11.19,2000263573504,
56,28.048,2622.49,115503792128,11.32,2000263573504,
57,28.550,2635.87,116891058176,11.46,2000263573504,
58,29.050,2551.48,118229041152,11.59,2000263573504,
59,29.553,2628.35,119614210048,11.73,2000263573504,
60,30.053,2541.54,120946950144,11.86,2000263573504,
61,30.556,2576.58,122305904640,11.99,2000263573504,
62,31.058,2543.04,123645984768,12.12,2000263573504,
63,31.559,2529.42,124973481984,12.25,2000263573504,
64,32.060,2518.85,126297833472,12.38,2000263573504,
65,32.561,2528.16,127624282112,12.51,2000263573504,
66,33.064,2571.13,128981139456,12.64,2000263573504,
67,33.567,2544.93,130323316736,12.78,2000263573504,
68,34.069,2518.49,131648716800,12.91,2000263573504,
69,34.571,2430.59,132927979520,13.03,2000263573504,
70,35.072,2483.70,134232408064,13.16,2000263573504,
71,35.574,2485.51,135542079488,13.29,2000263573504,
72,36.075,2489.51,136850702336,13.41,2000263573504,
73,36.575,2531.89,138178199552,13.55,2000263573504,
74,37.076,2536.58,139508842496,13.68,2000263573504,
75,37.578,2473.30,140810125312,13.80,2000263573504,
76,38.080,2449.32,142100922368,13.93,2000263573504,
77,38.583,2511.85,143426322432,14.06,2000263573504,
78,39.088,2531.67,144765353984,14.19,2000263573504,
79,39.591,2543.84,146107531264,14.32,2000263573504,
80,40.093,2547.12,147449708544,14.45,2000263573504,
81,40.595,2560.95,148796080128,14.59,2000263573504,
82,41.095,2535.27,150126723072,14.72,2000263573504,
83,41.596,2538.42,151460511744,14.85,2000263573504,
84,42.098,2523.57,152788008960,14.98,2000263573504,
85,42.598,2558.93,154130186240,15.11,2000263573504,
86,43.100,2451.62,155418886144,15.24,2000263573504,
87,43.601,2469.16,156715974656,15.36,2000263573504,
88,44.102,2488.99,158023548928,15.49,2000263573504,
89,44.603,2613.78,159398232064,15.63,2000263573504,
90,45.103,2523.61,160721534976,15.75,2000263573504,
91,45.603,2547.73,162057420800,15.89,2000263573504,
92,46.103,2527.69,163382820864,16.02,2000263573504,
93,46.603,2555.80,164722900992,16.15,2000263573504,
94,47.105,2510.00,166044106752,16.28,2000263573504,
95,47.605,2525.93,167368458240,16.41,2000263573504,
96,48.113,2489.46,168692809728,16.54,2000263573504,
97,48.613,2565.27,170038132736,16.67,2000263573504,
98,49.114,2518.23,171360387072,16.80,2000263573504,
99,49.617,2543.97,172702564352,16.93,2000263573504,
100,50.119,2606.31,174076198912,17.06,2000263573504,
101,50.620,2630.60,175456124928,17.20,2000263573504,
102,51.120,2601.82,176820322304,17.33,2000263573504,
103,51.620,2559.02,178162499584,17.46,2000263573504,
104,52.123,2488.46,179476365312,17.59,2000263573504,
105,52.626,2524.70,180807008256,17.72,2000263573504,
106,53.128,2569.82,182159671296,17.86,2000263573504,
107,53.631,2516.86,183487168512,17.99,2000263573504,
108,54.134,2554.86,184833540096,18.12,2000263573504,
109,54.641,2521.66,186174668800,18.25,2000263573504,
110,55.145,2567.03,187530477568,18.38,2000263573504,
111,55.647,2620.28,188910403584,18.52,2000263573504,
112,56.147,2255.41,190093197312,18.63,2000263573504,
113,56.650,2847.15,191595806720,18.78,2000263573504,
114,57.151,2578.14,192949518336,18.91,2000263573504,
115,57.651,2484.44,194252898304,19.04,2000263573504,
116,58.152,2482.61,195555229696,19.17,2000263573504,
117,58.652,2589.78,196914184192,19.30,2000263573504,
118,59.154,2387.69,198171426816,19.43,2000263573504,
119,59.654,2487.21,199475855360,19.55,2000263573504,
120,60.155,2529.45,200803352576,19.68,2000263573504,
121,60.655,2517.47,202124558336,19.81,2000263573504,
122,61.156,2555.73,203466735616,19.95,2000263573504,
123,61.657,2471.30,204763824128,20.07,2000263573504,
124,62.163,2522.04,206101807104,20.20,2000263573504,
125,62.663,2605.42,207468101632,20.34,2000263573504,
126,63.165,2504.82,208787210240,20.47,2000263573504,
127,63.669,2547.86,210132533248,20.60,2000263573504,
128,64.170,2515.61,211454787584,20.73,2000263573504,
129,64.671,2568.73,212805353472,20.86,2000263573504,
130,65.174,2530.07,214140190720,20.99,2000263573504,
131,65.675,2567.06,215486562304,21.12,2000263573504,
132,66.175,2535.36,216817205248,21.25,2000263573504,
133,66.676,2481.14,218119536640,21.38,2000263573504,
134,67.176,2568.86,219466956800,21.51,2000263573504,
135,67.677,2470.69,220766142464,21.64,2000263573504,
136,68.183,2538.94,222113562624,21.77,2000263573504,
137,68.684,2532.86,223443156992,21.90,2000263573504,
138,69.185,2608.33,224812597248,22.04,2000263573504,
139,69.685,2385.98,226063548416,22.16,2000263573504,
140,70.187,2593.43,227429842944,22.29,2000263573504,
141,70.687,2563.40,228774117376,22.43,2000263573504,
142,71.188,2521.67,230097420288,22.56,2000263573504,
143,71.690,2529.88,231429111808,22.69,2000263573504,
