Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.023,2369.76,1243611136,0.16,2000263573504,
2,1.524,4325.68,3514826752,0.46,2000263573504,
3,2.024,4369.99,5809111040,0.76,2000263573504,
4,2.527,4198.71,8023703552,1.06,2000263573504,
5,3.045,4203.68,10306453504,1.36,2000263573504,
6,3.558,4389.25,12668895232,1.67,2000263573504,
7,4.059,4160.29,14852030464,1.95,2000263573504,
8,4.559,4398.44,17159946240,2.26,2000263573504,
9,5.060,3904.95,19209912320,2.53,2000263573504,
10,5.560,4031.86,21325938688,2.81,2000263573504,
11,6.061,4015.87,23434625024,3.08,2000263573504,
12,6.562,3884.77,25473056768,3.35,2000263573504,
13,7.062,3963.50,27553431552,3.62,2000263573504,
14,7.753,4380.34,30728519680,4.04,2000263573504,
15,8.254,4518.76,33101447168,4.35,2000263573504,
16,8.755,4371.53,35395731456,4.66,2000263573504,
17,9.255,1719.28,36297506816,4.78,2000263573504,
18,9.755,289.68,36449550336,4.80,2000263573504,
19,10.258,2633.57,37837864960,4.98,2000263573504,
20,10.759,4314.95,40101740544,5.28,2000263573504,
21,11.259,4448.24,42434822144,5.58,2000263573504,
22,11.759,4373.40,44730155008,5.88,2000263573504,
23,12.260,4385.71,47032827904,6.19,2000263573504,
24,12.761,4314.76,49297752064,6.49,2000263573504,
25,13.261,4448.85,51631882240,6.79,2000263573504,
26,13.761,4211.54,53841231872,7.08,2000263573504,
27,14.262,4368.91,56134467584,7.39,2000263573504,
28,14.762,4480.08,58485374976,7.69,2000263573504,
29,15.263,4449.79,60819505152,8.00,2000263573504,
30,15.763,4459.92,63158878208,8.31,2000263573504,
31,16.263,4298.15,65415413760,8.61,2000263573504,
32,16.764,4278.62,67660414976,8.90,2000263573504,
33,17.264,4348.49,69943164928,9.20,2000263573504,
34,17.765,4282.35,72189214720,9.50,2000263573504,
35,18.265,4370.87,74483499008,9.80,2000263573504,
36,18.766,4629.23,76914098176,10.12,2000263573504,
37,19.267,4247.28,79143370752,10.41,2000263573504,
38,19.768,4259.97,81381031936,10.71,2000263573504,
39,20.268,4177.21,83573604352,11.00,2000263573504,
40,20.769,4335.64,85849014272,11.29,2000263573504,
41,21.269,4319.47,88114987008,11.59,2000263573504,
42,21.769,4496.30,90474283008,11.90,2000263573504,
43,22.272,4304.65,92741304320,12.20,2000263573504,
44,22.772,4515.01,95110037504,12.51,2000263573504,
45,23.272,4402.79,97420050432,12.82,2000263573504,
46,23.773,4428.56,99744743424,13.12,2000263573504,
47,24.273,4369.03,102037979136,13.42,2000263573504,
48,24.774,4539.90,104420343808,13.74,2000263573504,
49,25.274,4100.68,106572021760,14.02,2000263573504,
50,25.775,4336.45,108848480256,14.32,2000263573504,
51,26.275,4329.65,111120744448,14.62,2000263573504,
52,26.776,4407.57,113434951680,14.92,2000263573504,
53,27.277,4382.88,115735527424,15.23,2000263573504,
54,27.777,4271.07,117977382912,15.52,2000263573504,
55,28.278,4353.05,120263278592,15.82,2000263573504,
56,28.779,4440.94,122596360192,16.13,2000263573504,
57,29.279,4437.22,124924198912,16.44,2000263573504,
58,29.780,4490.65,127280349184,16.75,2000263573504,
59,30.280,4119.92,129441464320,17.03,2000263573504,
60,30.780,4377.85,131737845760,17.33,2000263573504,
61,31.281,4431.87,134063587328,17.64,2000263573504,
62,31.781,4178.68,136256159744,17.93,2000263573504,
63,32.282,4404.21,138568269824,18.23,2000263573504,
64,32.782,4372.95,140862554112,18.53,2000263573504,
65,33.283,3923.74,142923005952,18.80,2000263573504,
66,33.784,4065.92,145057906688,19.08,2000263573504,
67,34.284,4048.36,147182321664,19.36,2000263573504,
68,34.785,3873.54,149215510528,19.63,2000263573504,
69,35.285,4054.74,151343071232,19.91,2000263573504,
70,35.785,3904.23,153390940160,20.18,2000263573504,
71,36.286,3881.14,155428323328,20.45,2000263573504,
72,36.787,4219.46,157643964416,20.74,2000263573504,
73,37.288,4087.83,159790399488,21.02,2000263573504,
74,37.789,4342.82,162072100864,21.32,2000263573504,
75,38.289,4023.37,164182884352,21.60,2000263573504,
76,38.790,4056.26,166312542208,21.88,2000263573504,
77,39.299,4238.19,168577466368,22.18,2000263573504,
78,39.801,4324.92,170852876288,22.48,2000263573504,
79,40.302,4291.98,173106266112,22.77,2000263573504,
80,40.808,4477.03,175483387904,23.09,2000263573504,
81,41.309,4419.17,177803886592,23.39,2000263573504,
82,41.810,4486.03,180160036864,23.70,2000263573504,
83,42.310,4308.91,182421815296,24.00,2000263573504,
84,42.811,4333.55,184695128064,24.30,2000263573504,
85,43.311,4445.28,187029258240,24.61,2000263573504,
86,43.812,4235.02,189252239360,24.90,2000263573504,
87,44.314,4040.97,191378751488,25.18,2000263573504,
88,44.814,4375.37,193675132928,25.48,2000263573504,
89,45.315,4285.32,195924328448,25.78,2000263573504,
90,45.816,4117.65,198089637888,26.06,2000263573504,
