Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.502,4369.36,2298478592,0.46,2000263573504,
2,1.006,4485.66,4672454656,0.93,2000263573504,
3,1.507,4300.16,6928990208,1.39,2000263573504,
4,2.007,4427.50,9252634624,1.85,2000263573504,
5,2.508,4582.22,11660165120,2.33,2000263573504,
6,3.012,4658.42,14118027264,2.82,2000263573504,
7,3.516,4538.00,16517169152,3.30,2000263573504,
8,4.016,4778.62,19025362944,3.80,2000263573504,
9,4.517,4698.85,21491613696,4.30,2000263573504,
10,5.017,4603.29,23907532800,4.78,2000263573504,
11,5.518,4457.83,26247954432,5.25,2000263573504,
12,6.019,4362.46,28538044416,5.71,2000263573504,
13,6.519,4303.50,30797725696,6.16,2000263573504,
