Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.501,892.78,468713472,5.46,255993315328,
2,1.001,917.95,950009856,11.06,255993315328,
3,1.501,933.42,1439694848,16.76,255993315328,
4,2.002,916.43,1920991232,22.36,255993315328,
5,2.506,896.72,2394947584,27.88,255993315328,
6,3.007,916.32,2876243968,33.48,255993315328,
7,3.508,920.62,3359637504,39.11,255993315328,
8,4.008,919.87,3841982464,44.73,255993315328,
9,4.508,919.13,4324327424,50.34,255993315328,
10,5.009,896.65,4795138048,55.82,255993315328,
11,5.510,918.74,5277483008,61.44,255993315328,
12,6.010,919.25,5759827968,67.05,255993315328,
13,6.511,918.89,6242172928,72.67,255993315328,
14,7.011,910.87,6720323584,78.23,255993315328,
15,7.511,917.71,7201619968,83.84,255993315328,
16,8.011,917.94,7682916352,89.44,255993315328,
17,8.512,917.81,8164212736,95.04,255993315328,
