Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,1.011,2108.65,1106247680,0.17,2000263573504,
2,1.513,3326.44,2859466752,0.43,2000263573504,
3,2.014,4190.77,5058330624,0.77,2000263573504,
4,2.515,4173.23,7254048768,1.10,2000263573504,
5,3.016,4270.87,9494855680,1.44,2000263573504,
6,3.517,4291.67,11748245504,1.78,2000263573504,
7,4.017,4282.18,13995343872,2.12,2000263573504,
8,4.518,4307.10,16257122304,2.46,2000263573504,
9,5.018,4278.23,18503172096,2.80,2000263573504,
10,5.519,4313.85,20768096256,3.15,2000263573504,
11,6.020,4371.31,23064477696,3.49,2000263573504,
12,6.521,4344.00,25344081920,3.84,2000263573504,
13,7.021,4126.46,27509391360,4.17,2000263573504,
14,7.521,4347.36,29790044160,4.51,2000263573504,
15,8.022,4382.03,32090619904,4.86,2000263573504,
16,8.522,4450.79,34425798656,5.22,2000263573504,
17,9.023,4437.78,36754685952,5.57,2000263573504,
18,9.523,4282.16,39001784320,5.91,2000263573504,
19,10.024,4291.08,41254125568,6.25,2000263573504,
20,10.525,4296.98,43509612544,6.59,2000263573504,
21,11.025,4327.14,45779779584,6.94,2000263573504,
22,11.525,4136.65,47951380480,7.26,2000263573504,
23,12.026,4411.88,50266636288,7.62,2000263573504,
24,12.527,4373.07,52563017728,7.96,2000263573504,
25,13.027,4278.89,54808018944,8.30,2000263573504,
26,13.528,4371.79,57102303232,8.65,2000263573504,
27,14.030,4406.06,59423850496,9.00,2000263573504,
28,14.531,4175.40,61616422912,9.33,2000263573504,
29,15.031,4335.20,63891832832,9.68,2000263573504,
30,15.532,4182.43,66087550976,10.01,2000263573504,
31,16.034,4195.14,68293754880,10.35,2000263573504,
32,16.534,4225.87,70510444544,10.68,2000263573504,
33,17.034,4332.69,72784805888,11.03,2000263573504,
34,17.535,4397.43,75091673088,11.38,2000263573504,
35,18.035,4267.76,77331431424,11.72,2000263573504,
36,18.536,4328.08,79603695616,12.06,2000263573504,
37,19.036,4491.61,81960894464,12.42,2000263573504,
38,19.537,4217.81,84175486976,12.75,2000263573504,
39,20.038,4187.93,86374350848,13.09,2000263573504,
40,20.538,4243.61,88601526272,13.42,2000263573504,
41,21.039,4364.43,90890567680,13.77,2000263573504,
42,21.539,4177.94,93083140096,14.10,2000263573504,
43,22.040,4408.18,95397347328,14.45,2000263573504,
44,22.540,4319.96,97663320064,14.80,2000263573504,
45,23.040,4330.20,99935584256,15.14,2000263573504,
46,23.541,4223.75,102153322496,15.48,2000263573504,
47,24.042,4439.68,104484306944,15.83,2000263573504,
48,24.543,4083.59,106629693440,16.15,2000263573504,
49,25.043,4337.68,108906151936,16.50,2000263573504,
50,25.544,4300.57,111163736064,16.84,2000263573504,
51,26.046,4182.61,113363648512,17.17,2000263573504,
