Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Notes
1,0.500,1615.22,847249408,0.08,2000263573504,
2,1.000,1617.91,1695547392,0.17,2000263573504,
3,1.501,1652.89,2562719744,0.25,2000263573504,
4,2.001,1621.12,3413114880,0.33,2000263573504,
5,2.501,1506.49,4203741184,0.41,2000263573504,
6,3.001,1629.82,5058330624,0.50,2000263573504,
7,3.502,1487.11,5838471168,0.57,2000263573504,
8,4.002,1563.15,6658457600,0.65,2000263573504,
9,4.502,1516.68,7454326784,0.73,2000263573504,
10,5.002,1617.96,8302624768,0.81,2000263573504,
11,5.503,1427.38,9051308032,0.89,2000263573504,
12,6.004,1514.83,9847177216,0.97,2000263573504,
13,6.505,1496.99,10633609216,1.04,2000263573504,
14,7.005,1627.93,11487150080,1.13,2000263573504,
15,7.505,1562.90,12307136512,1.21,2000263573504,
16,8.005,1503.60,13095665664,1.28,2000263573504,
17,8.506,1486.47,13875806208,1.36,2000263573504,
18,9.006,1433.77,14627635200,1.43,2000263573504,
19,9.506,1607.97,15470690304,1.52,2000263573504,
20,10.006,1623.73,16322134016,1.60,2000263573504,
21,10.506,1495.65,17106468864,1.68,2000263573504,
22,11.007,1614.32,17953718272,1.76,2000263573504,
23,11.507,1403.68,18689818624,1.83,2000263573504,
24,12.007,1583.09,19520290816,1.91,2000263573504,
25,12.507,1513.43,20314062848,1.99,2000263573504,
26,13.007,1548.94,21126709248,2.07,2000263573504,
27,13.508,1532.97,21930967040,2.15,2000263573504,
28,14.008,1489.34,22712156160,2.23,2000263573504,
29,14.508,1440.93,23468179456,2.30,2000263573504,
30,15.009,1483.19,24246222848,2.38,2000263573504,
31,15.509,1567.66,25068306432,2.46,2000263573504,
32,16.009,1567.40,25890390016,2.54,2000263573504,
33,16.509,1583.81,26720862208,2.62,2000263573504,
34,17.009,1548.71,27533508608,2.70,2000263573504,
35,17.510,1566.93,28355592192,2.78,2000263573504,
36,18.010,1518.63,29152509952,2.86,2000263573504,
37,18.510,1583.49,29982982144,2.94,2000263573504,
38,19.011,1531.01,30786191360,3.02,2000263573504,
39,19.511,1491.20,31568429056,3.09,2000263573504,
40,20.011,1407.16,32306626560,3.17,2000263573504,
41,20.513,1500.31,33095155712,3.24,2000263573504,
42,21.013,1518.55,33892073472,3.32,2000263573504,
43,21.513,1493.35,34675359744,3.40,2000263573504,
44,22.014,1584.32,35506880512,3.48,2000263573504,
45,22.514,1461.86,36273389568,3.56,2000263573504,
46,23.014,1527.04,37074501632,3.63,2000263573504,
47,23.514,1527.72,37875613696,3.71,2000263573504,
48,24.014,1501.19,38663094272,3.79,2000263573504,
49,24.515,1581.73,39493566464,3.87,2000263573504,
50,25.015,1527.87,40294678528,3.95,2000263573504,
51,25.515,1561.81,41113616384,4.03,2000263573504,
